Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P9WQA7		oxidoreductase activity [GO:0016491]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WQC1		alcohol dehydrogenase (NAD+) activity [GO:0004022]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]	
P9WQC3	threonine metabolic process [GO:0006566]	alcohol dehydrogenase (NAD+) activity [GO:0004022]; L-threonine 3-dehydrogenase activity [GO:0008743]; zinc ion binding [GO:0008270]	
P9WQC9		acylphosphatase activity [GO:0003998]	
P9WQG1		acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WQI1		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WQI5	transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
P9WQI7		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WQM3		transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
P9WQM5		transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
P9WQM9	amino acid transport [GO:0006865]	transmembrane transporter activity [GO:0022857]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WQN1	DNA synthesis involved in DNA repair [GO:0000731]; DNA-templated DNA replication [GO:0006261]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; single-stranded DNA helicase activity [GO:0017116]	
P9WQP5	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]	6-phosphogluconolactonase activity [GO:0017057]	plasma membrane [GO:0005886]
Q10782	steroid metabolic process [GO:0008202]; symbiont-mediated evasion of host immune response [GO:0042783]	oxidoreductase activity [GO:0016491]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
Q10838	response to antibiotic [GO:0046677]	RNA binding [GO:0003723]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]	plasma membrane [GO:0005886]
Q10884	anaerobic electron transport chain [GO:0019645]	4 iron, 4 sulfur cluster binding [GO:0051539]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; nickel cation binding [GO:0016151]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]	plasma membrane [GO:0005886]
Q1LVD4		ATP hydrolysis activity [GO:0016887]; magnesium ion binding [GO:0000287]	bacterial nucleoid [GO:0043590]; chromosome [GO:0005694]
Q50681	symbiont-mediated perturbation of host innate immune response [GO:0052167]	hydrolase activity [GO:0016787]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
Q50700	DNA integration [GO:0015074]	nucleic acid binding [GO:0003676]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
Q50701	DNA replication [GO:0006260]	ATP binding [GO:0005524]	plasma membrane [GO:0005886]
Q50702	response to host immune response [GO:0052572]		plasma membrane [GO:0005886]
Q6MWV1			
Q6MWY2	response to host immune response [GO:0052572]; symbiont-mediated suppression of host innate immune response [GO:0052170]		
Q6MX13	tetrahydrobiopterin biosynthetic process [GO:0006729]	4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]	
Q6MX18			extracellular region [GO:0005576]; protein-containing complex [GO:0032991]
Q6MX40	mRNA catabolic process [GO:0006402]; rRNA catabolic process [GO:0016075]	DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; RNA endonuclease activity [GO:0004521]	
Q6MX48	response to host immune response [GO:0052572]		cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
Q6MX51	adhesion of symbiont to host cell [GO:0044650]; entry of bacterium into host cell [GO:0035635]	arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; sulfuric ester hydrolase activity [GO:0008484]	peptidoglycan-based cell wall [GO:0009274]
Q79F96	peptidoglycan catabolic process [GO:0009253]	N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; zinc ion binding [GO:0008270]	
Q79FG4			plasma membrane [GO:0005886]
Q79FK6	response to host immune response [GO:0052572]		
Q79FR3			
Q79G00	regulation of DNA-templated transcription [GO:0006355]; symbiont-mediated perturbation of host innate immune response [GO:0052167]	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]	
Q79G04			
Q7ARS9		2 iron, 2 sulfur cluster binding [GO:0051537]; heme binding [GO:0020037]; monooxygenase activity [GO:0004497]; nitric oxide dioxygenase NAD(P)H activity [GO:0008941]; oxidoreductase activity [GO:0016491]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]	
Q93IG6		ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
V5QRX7	mRNA catabolic process [GO:0006402]; rRNA catabolic process [GO:0016075]	DNA binding [GO:0003677]; RNA endonuclease activity [GO:0004521]	
A0A089QKZ7			
E2FZM5			
I6WX95	lipid A biosynthetic process [GO:0009245]	acyl binding [GO:0000035]; acyl carrier activity [GO:0000036]	cytosol [GO:0005829]; membrane [GO:0016020]
I6WXK8			
I6WXS6			
I6WY86	Mo(VI)-molybdopterin cytosine dinucleotide biosynthetic process [GO:1902760]	molybdenum cofactor cytidylyltransferase activity [GO:0061602]	
I6WYT7	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
I6WYU2			
I6WYY7			
I6WZ26	DNA-templated transcription [GO:0006351]		
I6WZ30			
I6WZ39			
I6WZ58			
I6WZ71	L-serine biosynthetic process [GO:0006564]	NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]	
I6WZ83			
I6WZD7			
I6WZD9	steroid metabolic process [GO:0008202]	oxidoreductase activity [GO:0016491]	
I6WZH9			
I6WZI4			
I6WZK3			
I6WZM9	regulation of gene expression [GO:0010468]	nucleic acid binding [GO:0003676]	
I6WZS4		DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	
I6WZS8			
I6X043	DNA transposition [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	
I6X4D6			
I6X4J0	proteolysis [GO:0006508]	metal ion binding [GO:0046872]; peptidase activity [GO:0008233]	
I6X4K0		transaminase activity [GO:0008483]	
I6X4S7	acyl-CoA metabolic process [GO:0006637]; fatty acid catabolic process [GO:0009062]	fatty acyl-CoA hydrolase activity [GO:0047617]	
I6X520			
I6X540			
I6X548			
I6X552			
I6X562			
I6X579			
I6X5B0			
I6X5G8			
I6X5K1	biogenic amine catabolic process [GO:0042402]; biogenic amine metabolic process [GO:0006576]; glutamine biosynthetic process [GO:0006542]	ATP binding [GO:0005524]; glutamine synthetase activity [GO:0004356]	
I6X5M3	regulation of DNA-templated transcription [GO:0006355]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
I6X5T4	DNA integration [GO:0015074]	nucleic acid binding [GO:0003676]	
I6X5U4		O-methyltransferase activity [GO:0008171]	
I6X5W1		oxidoreductase activity [GO:0016491]; quinone binding [GO:0048038]	membrane [GO:0016020]
I6X5W6			
I6X5Z8		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	plasma membrane [GO:0005886]
I6X630			
I6X642			
I6X654	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	FAD binding [GO:0071949]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	
I6X658	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	
I6X666			
I6X6H8	response to host immune response [GO:0052572]		
I6X7B3			
I6X7D4		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	cytosol [GO:0005829]
I6X7F2			
I6X7G4	biological process involved in interaction with host [GO:0051701]		membrane [GO:0016020]
I6X7G8	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
I6X7H4		3 iron, 4 sulfur cluster binding [GO:0051538]; electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]	
I6X7J6		zinc ion binding [GO:0008270]	
I6X7P2			
I6X7W8		monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	cytosol [GO:0005829]
I6X7X3	DNA damage response [GO:0006974]		
I6X7Z3	cAMP biosynthetic process [GO:0006171]; intracellular signal transduction [GO:0035556]	adenylate cyclase activity [GO:0004016]	plasma membrane [GO:0005886]
I6X7Z8			
I6X811	peptide transport [GO:0015833]	peptide transmembrane transporter activity [GO:1904680]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]
I6X824			
I6X827	lipid A biosynthetic process [GO:0009245]	UDP-2,3-diacylglucosamine hydrolase activity [GO:0008758]	membrane [GO:0016020]
I6X831		carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]	
I6X849			
I6X8E6			
I6X8G2			
I6X8R2	protein processing [GO:0016485]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	plasma membrane [GO:0005886]
I6X8S7		oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	
I6X961			plasma membrane [GO:0005886]
I6X9D2			
I6X9E2			
I6X9E8			
I6X9F4			
I6X9J0		acyl-CoA dehydrogenase activity [GO:0003995]	
I6X9N4			
I6X9N8			
I6X9Q1			
I6X9R9		oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	
I6X9T8	alkanesulfonate catabolic process [GO:0046306]	alkanesulfonate monooxygenase activity [GO:0008726]	
I6X9V3	iron-sulfur cluster assembly [GO:0016226]		
I6X9X6		methyltransferase activity [GO:0008168]	
I6X9Y7			
I6XA34			
I6XCB2	cell division [GO:0051301]; chromosome separation [GO:0051304]		
I6XDU8			
I6XDW5	lipoprotein biosynthetic process [GO:0042158]	N-acyltransferase activity [GO:0016410]	plasma membrane [GO:0005886]
I6XEF1			
I6XEF6			
I6XEH5		DNA binding [GO:0003677]	
I6XEI0			
I6XEK2			
I6XER9			
I6XES4	methylation [GO:0032259]	methyltransferase activity [GO:0008168]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	
I6XEU5	chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]	DNA binding [GO:0003677]; site-specific recombinase activity [GO:0009009]	
I6XEX3	proteolysis [GO:0006508]	peptidase activity [GO:0008233]	
I6XF17	nucleobase-containing compound metabolic process [GO:0006139]	3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]; nucleotide binding [GO:0000166]	
I6XF25	potassium ion transmembrane transport [GO:0071805]	potassium channel activity [GO:0005267]	plasma membrane [GO:0005886]
I6XF31			
I6XF52			
I6XF60			
I6XF84	DNA restriction-modification system [GO:0009307]	DNA binding [GO:0003677]	
I6XF92		hydrolase activity [GO:0016787]	
I6XFA6			
I6XFA9	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	cytoplasm [GO:0005737]
I6XFB7			
I6XFC2	regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]	
I6XFD1		ATP hydrolysis activity [GO:0016887]	
I6XFF3	transmembrane transport [GO:0055085]		plasma membrane [GO:0005886]
I6XFF7			
I6XFI7		acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
I6XFT2		oxidoreductase activity [GO:0016491]	
I6XFU1	DNA integration [GO:0015074]	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	
I6XFY8	phosphatidic acid biosynthetic process [GO:0006654]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]	
I6XFZ8			
I6XG13	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	
I6XG31			plasma membrane [GO:0005886]
I6XG38			
I6XG43		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	
I6XGJ1			
I6XH73	DNA transposition [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	
I6XHC3			
I6XHD1			
I6XHD6	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
I6XHG6			
I6XHH2			
I6XHH5		2-oxopent-4-enoate hydratase activity [GO:0008684]	cytoplasm [GO:0005737]
I6XHM5			
I6XHU7	DNA replication [GO:0006260]	ATP binding [GO:0005524]	
I6XHY3		hydrolase activity [GO:0016787]	
I6XI06			
I6XI16			
I6XUD2	anaerobic electron transport chain [GO:0019645]; formate oxidation [GO:0015944]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	formate dehydrogenase complex [GO:0009326]
I6XVR9			
I6XVW9		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	
I6XVY0		hydrolase activity [GO:0016787]	extracellular region [GO:0005576]
I6XVZ6			
I6XW38		acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]	
I6XW93			
I6XWA9			
I6XWB9			
I6XWE5	pyruvate decarboxylation to acetyl-CoA [GO:0006086]	magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]	
I6XWF9			
I6XWG2	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	nucleotide binding [GO:0000166]	molybdopterin adenylyltransferase complex [GO:1990133]
I6XWJ8		acetyl-CoA C-acetyltransferase activity [GO:0003985]	
I6XWK6		gamma-glutamylcyclotransferase activity [GO:0003839]	
I6XY36			
I6XZC4		oxidoreductase activity [GO:0016491]	
I6Y0W5	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	cytoplasm [GO:0005737]
I6Y0X6			
I6Y0Y0			
I6Y187	regulation of DNA-templated transcription [GO:0006355]	cis-regulatory region sequence-specific DNA binding [GO:0000987]; ligand-modulated transcription factor activity [GO:0098531]	
I6Y1A7	regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
I6Y1F0			
I6Y1F5			
I6Y1F9			
I6Y1G3		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasm [GO:0005737]
I6Y1G8	methylation [GO:0032259]	methyltransferase activity [GO:0008168]	
I6Y1H7		transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]
I6Y1I1			
I6Y1K4			
I6Y1K7			
I6Y1P2			
I6Y1U3		transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; plasma membrane [GO:0005886]
I6Y1V1			
I6Y1V6	cobalamin biosynthetic process [GO:0009236]	ATP binding [GO:0005524]; corrinoid adenosyltransferase activity [GO:0008817]	
I6Y1W3		oxidoreductase activity [GO:0016491]	
I6Y1W7			
I6Y242		O-methyltransferase activity [GO:0008171]	
I6Y259	glycerol metabolic process [GO:0006071]	glycerone kinase activity [GO:0004371]	
I6Y263	DNA recombination [GO:0006310]; transposition [GO:0032196]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	
I6Y293			
I6Y2A3			
I6Y2G3	carbohydrate metabolic process [GO:0005975]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]	cytosol [GO:0005829]
I6Y2H3			
I6Y2I9			plasma membrane [GO:0005886]
I6Y2Q7			
I6Y340	fatty acid biosynthetic process [GO:0006633]	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]	
I6Y3N9			
I6Y3P5	phospholipid transport [GO:0015914]	phospholipid transporter activity [GO:0005548]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]
I6Y3Q7		carboxy-lyase activity [GO:0016831]; hydrolase activity [GO:0016787]	
I6Y3S9		oxidoreductase activity [GO:0016491]	
I6Y3V3			plasma membrane [GO:0005886]
I6Y3Z2	peptidoglycan catabolic process [GO:0009253]	N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]	
I6Y460			
I6Y461	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
I6Y464			
I6Y469			
I6Y479			plasma membrane [GO:0005886]
I6Y481			
I6Y482	peptide transport [GO:0015833]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
I6Y4A5		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	
I6Y4C4			
I6Y4F1			
I6Y4G1			
I6Y4K0	pentose metabolic process [GO:0019321]	D-ribulokinase activity [GO:0019150]	cytoplasm [GO:0005737]
I6Y4R2		acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	
I6Y4S7		peroxiredoxin activity [GO:0051920]	
I6Y4S9			
I6Y4U0			
I6Y4V2	CAAX-box protein maturation [GO:0080120]	endopeptidase activity [GO:0004175]	
I6Y4Y1			
I6Y4Z4		ligase activity [GO:0016874]	
I6Y4Z9			
I6Y560	DNA recombination [GO:0006310]; transposition [GO:0032196]	DNA binding [GO:0003677]	
I6Y5H3	regulation of DNA-templated transcription [GO:0006355]; response to stress [GO:0006950]	DNA-binding transcription factor activity [GO:0003700]	
I6Y6S3	regulation of DNA-templated transcription [GO:0006355]		
I6Y748			plasma membrane [GO:0005886]
I6Y7L4	response to host immune response [GO:0052572]		
I6Y7N2		FAD binding [GO:0071949]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	
I6Y870	phospholipid transport [GO:0015914]	phospholipid transporter activity [GO:0005548]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]
I6Y890	DNA integration [GO:0015074]	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	
I6Y897			
I6Y8B5	fatty acid beta-oxidation [GO:0006635]	lyase activity [GO:0016829]	
I6Y8D3		kinase activity [GO:0016301]	
I6Y8F2	fatty acid beta-oxidation [GO:0006635]	lyase activity [GO:0016829]	
I6Y8H4		flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	
I6Y8K3	regulation of DNA-templated transcription [GO:0006355]; response to stress [GO:0006950]	DNA-binding transcription factor activity [GO:0003700]	
I6Y8U3			
I6Y8V2	cell redox homeostasis [GO:0045454]	protein-disulfide reductase activity [GO:0015035]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
I6Y8X8			
I6Y8Y0		alpha-methylacyl-CoA racemase activity [GO:0008111]	
I6Y8Y8	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; molybdopterin cofactor biosynthetic process [GO:0032324]	molybdopterin adenylyltransferase activity [GO:0061598]	cytosol [GO:0005829]
I6Y8Z3			plasma membrane [GO:0005886]
I6Y936			
I6Y941	DNA transposition [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	
I6Y946		oxidoreductase activity [GO:0016491]	
I6Y9E8		fatty acyl-CoA hydrolase activity [GO:0047617]	
I6Y9H2		lyase activity [GO:0016829]	
I6Y9I3		oxidoreductase activity [GO:0016491]	
I6Y9K2	DNA restriction-modification system [GO:0009307]	DNA binding [GO:0003677]; restriction endodeoxyribonuclease activity [GO:0015666]	
I6Y9M6		aspartic-type endopeptidase activity [GO:0004190]	membrane [GO:0016020]
I6Y9U6			
I6Y9Z5			
I6YA17			
I6YA21			
I6YA25			
I6YA29			
I6YA42			
I6YA47			
I6YA75			
I6YA93	DNA integration [GO:0015074]	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	
I6YAA5			
I6YAC9			
I6YAE2			
I6YAU3			
I6YAV3			plasma membrane [GO:0005886]
I6YAW3	methionine biosynthetic process [GO:0009086]	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]	
I6YAY5			
I6YAZ1	methylation [GO:0032259]	methyltransferase activity [GO:0008168]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	
I6YB11	steroid metabolic process [GO:0008202]	oxidoreductase activity [GO:0016491]	
I6YB49	lipid catabolic process [GO:0016042]	hydrolase activity [GO:0016787]	
I6YB54			
I6YBN6			plasma membrane [GO:0005886]
I6YC39	DNA integration [GO:0015074]	nucleic acid binding [GO:0003676]	
I6YC44			
I6YC49			
I6YC91			
I6YCB9			
I6YCC4			
I6YCE1		oxidoreductase activity [GO:0016491]	
I6YCG9	response to arsenic-containing substance [GO:0046685]	arsenite transmembrane transporter activity [GO:0015105]	plasma membrane [GO:0005886]
I6YCP7			
I6YCQ4		hydrolase activity [GO:0016787]	
I6YCQ7			
I6YCR8			
I6YCS6		ligase activity, forming carbon-nitrogen bonds [GO:0016879]	
I6YD99			
I6YDH3			
I6YDJ7			
I6YDM0			
I6YDN6	proteolysis [GO:0006508]	metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]	
I6YDV4		GDP-mannose mannosyl hydrolase activity [GO:0008727]	
I6YDZ2			
I6YE30		DNA binding [GO:0003677]	
I6YE67			plasma membrane [GO:0005886]
I6YE70			
I6YEB1	DNA restriction-modification system [GO:0009307]	DNA binding [GO:0003677]	
I6YEB6			
I6YEE6		dipeptidyl-peptidase activity [GO:0008239]	
I6YEE9			
I6YEF3			
I6YEH6		lyase activity [GO:0016829]	
I6YEL8			
I6YEN3		monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	
I6YEW1			
I6YEY1			
I6YEZ8	lipid metabolic process [GO:0006629]	acyltransferase activity [GO:0016746]	
I6YF11		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATP-binding cassette (ABC) transporter complex [GO:0043190]
I6YF16			
I6YF40	oxaloacetate metabolic process [GO:0006107]	catalytic activity [GO:0003824]; magnesium ion binding [GO:0000287]	
I6YG27			
I6YG51			
I6YG83			
I6YG87			
I6YG92			
I6YGA5	biological process involved in interaction with host [GO:0051701]		membrane [GO:0016020]
I6YGB1	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
I6YGC8		ligase activity [GO:0016874]	
I6YGD8		acyltransferase activity [GO:0016746]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
I6YGE4			
I6YGH7	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	FAD binding [GO:0071949]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	
I6YGI1			
I6YGJ4			
I6YGL1		hydrolase activity [GO:0016787]	
I6YGR2			
I6YGS7			
I6YGT7			
I6YGU1			
I6YGV9		transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
I6YGW2	proteolysis [GO:0006508]	peptidase activity [GO:0008233]	
I6YGW6	cytochrome complex assembly [GO:0017004]	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]	cell envelope [GO:0030313]
I6YGW9			
I6YGX9		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	
I6YGY9			
L0T243			
L0T2Q9	phospholipid transport [GO:0015914]	phospholipid transporter activity [GO:0005548]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]
L0T2Z1		4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]	membrane [GO:0016020]
L0T3X8			
L0T545			
L0T643	glycoside metabolic process [GO:0016137]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]	
L0T6B3			
L0T6I4			
L0T6V0			
L0T7Y7	response to host immune response [GO:0052572]		
L0T897			
L0T8G4			
L0T8G6			
L0T9Q6			
L0T9U5			
L0TA08			
L0TAY1			
L0TB61	lipid catabolic process [GO:0016042]	hydrolase activity [GO:0016787]	
L0TBL4			
L0TBY6			
L0TC46			
L0TCB8			
L0TFC2			
L7N649			
L7N651			
L7N652		transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; plasma membrane [GO:0005886]
L7N654		transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	
L7N656			
L7N657			
L7N658			
L7N659			
L7N660			
L7N661			
L7N663		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	
L7N665	proton transmembrane transport [GO:1902600]	antiporter activity [GO:0015297]	membrane [GO:0016020]
L7N666			
L7N668			
L7N670			
L7N671			
L7N672	tRNA processing [GO:0008033]	metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; nucleotidyltransferase activity [GO:0016779]; tRNA binding [GO:0000049]	
L7N673			
L7N678			
L7N679			
L7N681			
L7N682		acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
L7N683			
L7N684		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	
L7N685			
L7N686			
L7N687	methylation [GO:0032259]	methyltransferase activity [GO:0008168]	
L7N688	fatty acid beta-oxidation [GO:0006635]	3-hydroxybutyryl-CoA dehydrogenase activity [GO:0008691]; NAD+ binding [GO:0070403]	
L7N691			
L7N692			membrane [GO:0016020]
L7N693			
L7N694			
L7N698	intermembrane phospholipid transfer [GO:0120010]; symbiont entry into host [GO:0044409]	phospholipid transfer activity [GO:0120014]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
L7N699	fatty acid biosynthetic process [GO:0006633]	adenylyltransferase activity [GO:0070566]; ligase activity [GO:0016874]	
L7N6A0			
L7N6A1			
L7N6A2		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	protein-DNA complex [GO:0032993]
L7N6A3			
L7N6A4	DNA alkylation repair [GO:0006307]	dioxygenase activity [GO:0051213]	
L7N6A7			
L7N6A8			
L7N6A9			
L7N6B1	L-methylmalonyl-CoA metabolic process [GO:0046491]	metal ion binding [GO:0046872]; methylmalonyl-CoA epimerase activity [GO:0004493]	
L7N6B2	iron coordination entity transport [GO:1901678]		outer membrane-bounded periplasmic space [GO:0030288]
L7N6B3		oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	
L7N6B5			
L7N6B6			
L7N6B8			
